,JID,Text
是系爭專利請求項40僅為所屬技術領域中具有通常知識
者能輕易完成，且其亦未能達成無法預期功效，故證據5
、8或證據5、9或證據5、7、9或證據5、8、9或證據5
、7、8、9之組合均足以證明系爭專利請求項40不具進
步性。
41所附加之技術特徵為「其中該第三襟
翼與該第二襟翼係相隔一段距離設置」，證據8已教示系
爭專利請求項1「…該第一主翼與該第一襟翼係相隔一段
距離設置…」之技術特徵，是系爭專利請求項41僅為所
屬技術領域中具有通常知識者能輕易完成，且未能達成無
法預期功效，故證據5、8或證據5、9或證據5、7、9或
證據5、8、9或證據5、7、8、9之組合均足以證明系爭
專利請求項41不具進步性。
46及其附屬項不具進步性：
5、8或證據5、8、9之組合足以證明系爭專利請求項
46不具進步性：
5、8已教示系爭專利請求項46「各該第三襟翼係與
第二主翼於該扇葉的迎風面夾有一預定角度，該預定角度
係大於90度，該迎風面為一連續的曲面」之技術特徵，

18理由同系爭專利請求項27之部分，不再贅述。縱系爭專
利請求項46所界定之「該迎風面為一不連續的平面或曲
面」技術特徵與證據5之「該迎風面為一連續的曲面」構
造有所差異，惟系爭專利說明書已記載各扇葉223之主翼
223a與襟翼223b可為一體成形，亦可不為一體成形，均
具有相同之效果。故證據5、8已教示系爭專利請求項46
之所有技術特徵，當然亦同具有使出風效率增加延緩失速
並降低噪音之功效，足以證明系爭專利請求項46不具進
步性。
9並已揭示「扇框結構1與散熱風扇2的外框21相
連結」，相當於系爭專利請求項46「葉輪軸設於扇框並
有複數靜葉，具有保護框以與扇框相連結」之技術特徵，
且證據9亦具有減少噪音並提升運轉效能之功效，與證據
5、8、9相較，系爭專利並未能達成無法預期之功效，故
證據5、8、9之組合亦足以證明系爭專利請求項46不具
進步性。
5、8或證據5、9或證據5、8、9之組合足以證明系爭
專利請求項48、49、51至53不具進步性：
48、49、51至53所附加之技術特徵，分
別為「其中各該第三襟翼之軸向長度與各該第二主翼及各
該第三襟翼之總軸向長度之比值係小於0.75」、「其中該
第三襟翼係為曲形或平板」、「其中該第二主翼與該第三
襟翼之翼形不同」、「其中該第二主翼與該第三襟翼之安
裝角不同」、「其中各該第二主翼與該第三襟翼之連接關
係係為抵接、黏接、樞接或鄰接」，證據5、8或證據5
、9或證據5、8、9之組合均足以證明系爭專利請求項48
、49、51至53不具進步性，其理由同系爭專利請求項3

19、7、9、10、40所述。
9已揭示相當於系爭專利第三襟翼為曲
形或平板之技術特徵，又證據8揭示「上扇葉424之葉面
呈適當彎曲且傾斜於軸心向，下扇葉425之葉面則略呈平
行於軸心向」，且參考證據8第11圖可知，該下扇葉42
5之葉面係為一平板。於證據9說明書第9頁第6至13
行教示「除了第三圖所示之扇框結構1中的複數個靜葉1
3可與扇葉形狀實質相似之外，該靜葉13之形狀亦可有
其他之選擇與變化，如第八圖之(a)至(i)所示。該靜葉13
之剖面可以為一平板（如圖中(a)所示）、梯形（如圖中(b
)所示）、三角形（如圖中(c)所示）或翼形（如圖中(d)所
示）等形狀，或者具有至少一曲面、弧面、曲線或弧線等
形狀（如圖中(e)至(h)所示）或具有中心線不彎曲之曲線
或弧線外形（如圖中(i)所示）」，故在證據5、8或證據
5、9或證據5、8、9足以證明系爭專利請求項46不具進
步性基礎上，上開組合亦足以證明系爭專利請求項49不
具進步性。
三、被告答辯聲明：原告之訴駁回。訴訟費用由原告負擔。
並辯稱：
系爭專利請求項1、27、46、55並未界
定該預定角度形成於扇葉的迎風面、該預定角度係大於90度
、該第一主翼與該第一襟翼係相隔一段距離設置及該迎風面為
一不連續的平面或曲面等特徵，已導致實質變更申請專利範圍
云云，惟查：
1係併入請求項2、6，更正系爭專利
請求項27係併入請求項28、32，更正請求項46係併入請
求項47，更正請求項55係併入請求項56、61，並均以系爭

20專利說明書第7、8頁內容加以限縮。
1主要界定第一主翼、第一襟翼及其所夾預
定角度等技術特徵，其中該預定角度係大於90度及該第一
主翼與該第一襟翼係相隔一段距離設置之內容，為原系爭專
利請求項2、6加以限縮，並未改變系爭專利發明內容所欲
解決提供一種風扇及其扇葉相關構件，所能延緩失速及較佳
出風效率等之問題；又其扇葉的迎風面形成預定角度及該迎
風面為一不連續的平面或曲面之內容，於系爭專利說明書實
施方式已清楚揭示關於第一主翼與第一襟翼之扇葉預定角度
及所夾之迎風面形狀關係，亦未改變系爭專利之發明內容及
所欲解決的問題。至於系爭專利請求項27、46及55之更正
內容，亦有相同情形。
1、27、46及55之更正內容屬申請
專利範圍之減縮，並未改變系爭專利發明內容所欲解決提供
一種風扇及其扇葉相關構件，所能延緩失速及較佳出風效率
等問題，當然未實質變更公告時申請專利範圍，原告所稱並
無理由。
充分揭露，違反核准審定時專利法第26條第2項之規定云云
，惟查：
有主翼與襟翼夾有預定角度，具有較佳的出風效率以延緩失
速的狀況。以第一實施例為例，其風扇2，包括有一扇框2
1與一葉輪22，該主翼223a與襟翼223b於迎風面223c處
夾有一預定角度θ，於本實施例中，主翼223a與襟翼223b
之預定角度θ界定係大於90度，其主翼與襟翼與迎風面方
向的夾角清楚界定，並未有不明確之處；又各扇葉223之主

21翼223a與襟翼223b係一體成形，當然主翼223a與襟翼223
b亦可界定不為一體成形而分開設置，且由各襟翼與各扇葉
之軸向長度比值小於0.75之定義，本發明所屬技術領域者
當然可以得知其比值必定大於0，故襟翼之軸向具有特定長
度數值方為合理。
系爭專利第10圖揭示系爭專利風扇與習用風扇之特性曲線
圖，雖系爭專利於實施方式中未完整揭示各項實驗數據及測
試風扇之數值，而僅揭示在相同風量下系爭專利風扇相較習
知現有風扇之出風效率可些微提升5%，此定義於不同風扇
結構特徵下之效率數值必定有所不同，惟系爭專利主要係經
由不同之風扇結構外型設計以達到延緩失速之目的，對於提
升出風效率之數值大小應非其強調重點，故參酌系爭專利說
明書及圖式所揭示內容，系爭專利之風扇其預定角度、比值
及特性曲線圖並未違反明確性、充分揭露或可據以實施性之
要件原則，原告所稱並無理由。
1、3、7、9至12、22、26、27、29、
33至42、44至46、48、49、51至53、55、57、59、62、65
、67之風扇與扇框之界定、預定角度大於90度及襟翼與靜葉
之軸向長度比值未以明確簡潔方式記載，無法為發明說明所支
持，違反專利法第26條第3項之規定云云，惟查：
1已記載一種風扇，包括：一葉輪，具有複
數個扇葉，各該扇葉具有一第一主翼與一第一襟翼，各該第
一襟翼係與各該第一主翼於該扇葉的迎風面夾有一預定角度
。其說明書所揭示之風扇2，包括有一扇框21與一葉輪22
，該扇框21具有一殼體211，其內部具有一底座212，且殼
體211與底座212之間連接有複數個靜葉213或肋條，可清
楚得知風扇單元包含扇框與葉輪等，該扇框更包含有殼體、

22底座、肋條及複數靜葉等構件，其風扇與扇框之關係應為明
確。
223分別具有一主翼223a與
一襟翼223b，且各扇葉223另具有一迎風面223c與一背風
面223d，主翼223a與襟翼223b於迎風面223c處夾有一預
定角度θ，於第一實施例中，主翼223a與襟翼223b之預定
角度θ界定係大於90度，其主翼、襟翼與迎風面方向的夾
角已清楚界定，並未有不明確之處，且由各襟翼與各扇葉之
軸向長度比值小於0.75之定義，所屬技術領域者可知襟翼
之軸向長度必定具有特定長度數值（大於0），俱如前述，
故系爭專利請求項1所記載內容於說明書及對應圖式第3至
6圖已明確記載其必要技術特徵，且為說明書之實施方式所
支持，所屬技術領域具備通常知識者可輕易瞭解其組成結構
及結合關係。另系爭專利請求項1之附屬項3、7、9至12
、22、26及其它獨立項27、46、55及其附屬項，亦應明確
可為發明說明所支持，原告主張並無理由。
8不足以證明系爭專利請求項1、55及其附屬項3、7、9
至11、57、59、62、65、67不具新穎性或進步性：
1、55與證據8之比對內容詳如原處分書所
載，證據8分別已揭露相當於系爭專利請求項1之風扇、葉
輪、複數扇葉、第一主翼與一第一襟翼及該第一主翼與該第
一襟翼係相隔一段距離設置等技術內容，及相當於系爭專利
請求項55之風扇扇葉、第一主翼、第一襟翼及該第一主翼
與該第一襟翼係相隔一段距離設置等技術內容，惟因證據8
未明確界定其上扇葉424與下扇葉425之夾角，以及沿軸心
驅動之氣流迎風面與上扇葉424、下扇葉425之夾角度，亦
無從進一步得知其迎風面方向，故證據8並未揭露系爭專利

23請求項1、55「各該第一襟翼係與第一主翼於該扇葉的迎風
面夾有一預定角度，該預定角度係大於90度，以及該迎風
面為一不連續的平面或曲面」之技術特徵，該未揭示部分為
所屬技術領域中具有通常知識者參酌證據8之揭示技術內容
無法直接且無歧異得知，是以證據8不足以證明系爭專利請
求項1、55不具新穎性，當然亦無法進一步證明其附屬項3
、7、9至11、57、59、62、65、67不具新穎性。
各扇葉間產生渦流失速之情形，而利用主翼與襟翼之預定夾
角，使得風扇出風效率增加延緩失速並降低噪音之目的；證
據8則為改善現有冷卻風扇空氣對流不佳，利用上扇葉與下
扇葉分開設計同時具有沿軸心向及其沿軸心垂直面方向驅動
氣流的功效，二者所欲解決之問題及所欲達成之功效皆不同
。證據8並未揭露系爭專利請求項1、55「各該第一襟翼係
與第一主翼於該扇葉的迎風面夾有一預定角度，該預定角度
係大於90度，以及該迎風面為一不連續的平面或曲面」之
技術特徵，已如前述，故證據8不足以證明系爭專利請求項
1、55不具進步性，當然亦無法進一步證明其附屬項3、7、
9至11、57、59、62、65、67不具進步性。
2、8或證據4、8或證據6、8之組合均不足以證明系爭
專利請求項12不具進步性：
系爭專利請求項12為間接依附於系爭專利請求項1之附屬項
，證據2、4、6雖已揭示相當於系爭專利之葉輪軸設於扇框並
有複數靜葉，該靜葉與扇框相連結等技術特徵，惟皆未揭示系
爭專利請求項1所界定之各該第一襟翼係與第一主翼於該扇葉
的迎風面夾有一預定角度，該預定角度係大於90度，以及該
迎風面為一不連續的平面或曲面等技術特徵，故證據2、8或

24證據4、8或證據6、8之組合均不足以證明系爭專利請求項1
2不具進步性。
5、8或證據8、9或證據5、8、9之組合均不足以證明系
爭專利請求項22、27、33、34、46、49不具進步性：
5係為改善個人化船隻之定子扇葉與葉輪驅動軸呈一圓
錐狀罩體，以減少水流渦輪輸出時之噪音及軸向推力所造成
之扇葉損壞；證據8為改善現有冷卻風扇空氣對流不佳，利
用上扇葉與下扇葉分開設計同時具有沿軸心向及其沿軸心垂
直面方向驅動氣流的功效；證據9為提供一種組合式扇框結
構，以解決現有肋條所產生的風阻及風壓的損失，以減少噪
音並提升運轉效率，證據5、8、9與前述系爭專利解決之問
題及所欲達成之功效皆不同；且證據5未揭示第一靜葉部2
12與第二靜葉部218之夾角，其噴射幫浦200之葉輪202
沿軸心之水流迎向面與第一靜葉部212及第二靜葉部218之
夾角度，證據8亦未界定其上扇葉424與下扇葉425間之夾
角，以及沿軸心驅動之氣流迎風面與上扇葉424、下扇葉4
25之夾角度，證據9亦未明確界定第二主翼及其與扇框結
構1靜葉13之夾角度，亦無從進一步定義其迎風面方向，
均未揭示系爭專利請求項1、27、46、55「各該第一（或二
、三）襟翼係與第一（或二）主翼於該靜葉的迎風面夾有一
預定角度，該預定角度係大於90度，以及該迎風面為一不
連續的平面或曲面」之技術特徵，故證據5或證據5、8之
組合均不足以證明系爭專利請求項27不具進步性，證據5
或證據5、8或證據5、8、9之組合均不足以證明系爭專利
請求項46不具進步性。
22為間接依附於系爭專利請求項1之附屬
項，證據5、9雖已揭示相當於系爭專利之葉輪軸設於扇框

25並有複數靜葉，具有保護框以與扇框相連結等技術特徵，惟
證據5、8、9皆未揭示系爭專利請求項1所界定之各該第一
襟翼係與第一主翼於該扇葉的迎風面夾有一預定角度，該預
定角度係大於90度，以及該迎風面為一不連續的平面或曲
面等技術特徵，已如前述，故證據5、8或證據8、9或證據
5、8、9之組合皆不足以證明系爭專利請求項22不具進步
性。
33為依附於系爭專利請求項27之附屬項，
證據9已揭示相當於系爭專利之葉輪軸設於扇框並有複數靜
葉，具有保護框以與扇框相連結等技術內容，惟證據9亦未
揭示系爭專利請求項27所界定之各該第一襟翼係與第一主
翼於該靜葉的迎風面夾有一預定角度，該預定角度係大於9
0度，以及該迎風面為一不連續的平面或曲面等技術特徵，
故證據5、9或證據5、8、9之組合皆不足以證明系爭專利
請求項33不具進步性，自亦不足以證明其附屬項34不具進
步性。
49為依附於系爭專利請求項46之附屬項，
證據9已揭示相當於系爭專利之第三襟翼為曲形或平板特徵
，惟證據9並未揭示系爭專利請求項46所界定之各該第三
襟翼係與第二主翼於該扇葉的迎風面夾有一預定角度，該預
定角度係大於90度，以及該迎風面為一不連續的平面或曲
面等技術特徵，故證據5、9之組合不足以證明系爭專利請
求項49不具進步性。
5、7、9或證據5、7、8、9之組合均不足以證明系爭專
利請求項34不具進步性：
系爭專利請求項34為依附於系爭專利請求項33之附屬項，系
爭專利請求項33又依附於系爭專利請求項27，證據7已揭示

26相當於系爭專利之第三襟翼與第二襟翼對應設置技術內容，惟
證據7亦未揭示系爭專利請求項27所界定之各該第一襟翼係
與第一主翼於該靜葉的迎風面夾有一預定角度，該預定角度係
大於90度，以及該迎風面為一不連續的平面或曲面等技術特
徵，故證據5、7、9或證據5、7、8、9之組合均不足以證明
系爭專利請求項34不具進步性。
8與系爭專利請求項1、55之比對，證據5、
8之組合與系爭專利請求項27之比對，證據5、8、9之組合
與系爭專利請求項46之比對，均無法證明其不具進步性，則
獨立項1、27、46、55之附屬項與證據2、4、5、8、9之組合
比對，亦無法證明其不具進步性。
原告負擔
。並辯稱：
67條第4項之規定：
8頁第1至4行記載「各扇葉223分
別具有一第一主翼223a與一第一襟翼223b，且各扇葉223
具有一迎風面223c與一背風面223d，第一主翼223a與第一
襟翼223b於迎風面223c處夾有一預定角度θ」可知，該扇
葉具有迎風面，並由第一主翼與第一襟翼組成，則當然第一
主翼與第一襟翼形成有迎風面，系爭專利請求項1更正為「
各該第一襟翼係與各該第一主翼於該扇葉的迎風面夾有一預
定角度」，明顯係進一步界定之技術特徵，此為所屬技術領
域具有通常知識者依據「常識」直接而無歧異可得知。
8頁第5至6行記載「第一主翼223a
與第一襟翼223b夾有之預定角度θ係大於90度」、第14
至15行記載「第一襟翼223b''與第一主翼223a''相隔一段距
離設置」、第19至20行記載「第一主翼與第一襟翼所構成

27之扇葉迎風面223c為不連續之平面或曲面」等語，均進一
步界定第一主翼與第一襟翼的構成，則系爭專利請求項1更
正為「該預定角度係大於90度」、「該第一主翼與該第一
襟翼係相隔一段距離設置」及「該迎風面為一不連續的平面
或曲面」，明顯係進一步界定之技術特徵，此為所屬技術領
域具有通常知識者直接而無歧異可得知。
1原已界定「扇葉」、「第一主翼與第一襟
翼」，更正為「該扇葉更包括一迎風面」、「該第一主翼與
該第一襟翼係相隔一段距離設置」乃是分別進一步詳述扇葉
的構成、第一主翼與第一襟翼的設置關係，當然屬下位概念
或進一步界定之技術特徵。綜上，系爭專利請求項1之更正
係進一步詳述細部構成，原告稱已導致實質變更申請專利範
圍云云，顯無理由。
26條第2、3項之規定：
術手段及功效，已明確且充分揭露可據以實施之必要技術內
容，當然符合專利法第26條第2、3項對於說明書及申請專
利範圍的記載要求；又第三實施例係揭示於扇框41具有第
二主翼411（扇框41的靜葉）、保護框42具有第三襟翼42
1（保護框42的肋條），如同第一實施例（扇葉包括第一主
翼與第一襟翼）及第二實施例（扇框的靜葉包括第二主翼與
第二襟翼）相同的作用原理，第三實施例由第二主翼與第三
襟翼構成的葉型同樣會改變葉型的特性，達到系爭專利的功
效，所屬技術領域具有通常知識者基於對第一、二實施例的
理解，當然能直接而無歧異得知第三實施例的組成結構與結
合關係。另系爭專利圖10係在前述已明確且充分揭露而可
據以實施的記載基礎下，進一步顯示所屬技術領域具有通常

28知識者倘將改良結構（即扇葉配置主翼與襟翼彼此間隔一段
距離、襟翼與主翼於迎風面夾有大於90度的預定角度、迎
風面為不連續的平面或曲面）與習知風扇作實驗比較，當能
得到如圖10所示的功效，並不致因圖10的揭露反而造成實
施為不可能或困難的情形。
8頁第1至4行記載「請參閱圖4，各扇
葉223分別具有一第一主翼223a與一第一襟翼223b，且各
扇葉223具有一迎風面223c與一背風面223d，第一主翼22
3a與第一襟翼223b於迎風面223c處夾有一預定角度θ」，
所屬技術領域者當知主翼與襟翼必然夾有預定角度，否則何
須區分主翼與襟翼；又系爭專利說明書第10頁倒數第5至
2行記載「第一主翼與第一襟翼之間夾有一預定角度。如此
一來，即可改變扇葉之特性，使得風扇出風效率增加、延緩
失速之狀況之發生，並且降低風扇之噪音」，扇葉區分主翼
與襟翼將改變扇葉的特性，達到系爭專利的功效，且系爭專
利說明書中「T1（襟翼軸向長度）/T（扇葉軸向長度）＜0.
75」更明確界定襟翼與扇葉（主翼＋襟翼）的軸向長度關係
，則該襟翼之軸向長度必定具有特定長度數值（大於0），
且所屬技術領域具通常知識者當知「比值」乃為二個數值之
比例關係，當然不會根據系爭專利所揭露的內容而選用比值
為0的扇葉結構（即無襟翼），原告稱系爭專利說明書及圖
式所揭示之「預定角度θ」、「第一襟翼與扇葉之軸向長度
比值係小於0.75」不明確且無法據以實施云云，並無理由。
8不足以證明系爭專利請求項1、55及其附屬項3、7、9
至11、57、59、62、65、67不具新穎性及進步性：
8所示離心式風扇不同，系
爭專利請求項1之「第一主翼」與「第一襟翼」分別為扇葉

29的主體及末端轉折，並非二個各自獨立的完整扇葉，其作用
分別為略呈軸心向驅動氣流、改變氣流方向使其沿軸心向；
由證據8說明書第12頁第15行至第13頁第5行及圖9至
11揭示「扇輪420具有各自獨立設置的複數個上扇葉424
及下扇葉425，上扇葉424形成一軸心向之軸流式扇葉，下
扇葉425形成略呈平行於軸心向之鼓風式扇葉，本發明之扇
輪構造具有同時沿軸心向及沿軸心之垂直面向驅動氣流之功
效，當扇輪420轉動時，外界空氣被數個上扇葉424驅動而
進入蓋板430之入風口431，並將殼體410內部之熱量帶走
，再被數個下扇葉425將熱空氣導入出風口403排出機殼外
」可知，其「上扇葉424」為完整的軸流式扇葉，用以沿軸
心向驅動氣流及將殼體內部熱量帶走，「下扇葉425」則為
完整的鼓風式扇葉，用以沿軸心之垂直面向驅動氣流及將熱
空氣導入出風口403排出機殼外，但未記載扇輪420的轉動
方向，無從確認上扇葉424與下扇葉425的迎風面及其夾角
，相較於系爭專利請求項1係由第一主翼與第一襟翼共同構
成（完整）軸流式扇葉其迎風面夾有一預定角度，該預定角
度係大於90度，並具改變氣流方向之功效，有所不同，故
證據8之「上扇葉424」與「下扇葉425」不能對比為系爭
專利請求項1之「第一主翼」與「第一襟翼」。另系爭專利
請求項55之「風扇扇葉」與系爭專利請求項1之「風扇」
具有相對應之技術特徵，其與證據8之差異亦同，不再贅述
。
1、55相較於證據8具有新穎性及進步性，
已如前述，其附屬項3、7、9至11、57、59、62、65、67
相較於證據8，當然具有新穎性及進步性。
2、8或證據4、8或證據6、8之組合不足以證明系爭專

30利請求項12、26不具進步性，證據5、8或證據8、9或證據
5、8、9之組合不足以證明系爭專利請求項22不具進步性：
2、4、6均未揭露系爭專利請求項1「各該扇葉具有一
第一主翼與一第一襟翼，各該第一襟翼係與各該第一主翼於
該扇葉的迎風面夾有一預定角度，該預定角度係大於90度
，該第一主翼與該第一襟翼係相隔一段距離設置，該迎風面
為一不連續的平面或曲面」的技術特徵，故系爭專利請求項
1之附屬項12、26相較於證據2、8或證據4、8或證據6、
8之組合，當然具有進步性。
5、9均未揭露系爭專利請求項1「各該扇葉具有一第
一主翼與一第一襟翼，各該第一襟翼係與各該第一主翼於該
扇葉的迎風面夾有一預定角度，該預定角度係大於90度，
該第一主翼與該第一襟翼係相隔一段距離設置，該迎風面為
一不連續的平面或曲面」的技術特徵，證據5亦未揭露系爭
專利請求項22「保護框」的技術特徵，故系爭專利請求項1
之附屬項22相較於證據5、8或證據8、9或證據5、8、9
之組合，當然具有進步性。
5或證據5、8之組合不足以證明系爭專利請求項27及其
附屬項29、42、44至45不具進步性，證據5、8或證據5、9
或證據5、8、9之組合不足以證明系爭專利請求項33不具進
步性，證據5、8或證據5、9或證據5、7、9或證據5、8、9
或證據5、7、8、9之組合不足以證明系爭專利請求項34至4
1不具進步性：
8之「上扇葉424」與「下扇葉425」不能對比為系爭
專利請求項27之「第二主翼」與「第二襟翼」，理由同系
爭專利請求項1之部分，不再贅述。由證據5說明書第9
欄第30至44行及圖8揭示「圓柱錐罩體206，其內部結構

31有複數個靜葉220由定子204的第一靜葉部212、及幫浦罩
體216的第二靜葉部218相互連接配合」可知，證據5的圓
柱錐罩體206（對應系爭專利之扇框）本身未配置靜葉，須
由「內部結構」（非扇框結構）的定子204設置第一靜葉部
212與幫浦罩體216設置第二靜葉部218配合組成靜葉220
，係用以改善個人化船隻的定子扇葉與葉輪驅動軸呈圓錐狀
罩體，以減少水噴射幫浦操作時的噪音及軸向推力所造成的
扇葉損壞，相較於系爭專利請求項27之「第二主翼」、「
第二襟翼」分別為扇框靜葉的主體及末端轉折，並改變靜葉
特性之功效，有所不同，且證據5未明確標示第一靜葉部2
12與第二靜葉部218的迎風面及其夾角，故證據5之「第
一靜葉部212」與「第二靜葉部218」不能對比為系爭專利
請求項27之「第二主翼」與「第二襟翼」。況證據5為水
噴射幫浦、證據8為風扇，二者技術領域差異極大，各自欲
解決問題、發明目的及功效亦均不相同，並無合理的組合動
機，是系爭專利請求項27相較於證據5或證據5、8之組合
具有進步性。
27相較於證據5、8之組合具有進步性，已
如前述，其附屬項29、42、44至45相較於證據5、8之組
合，當然具有進步性。
9亦未揭露系爭專利請求項27「一扇框，具有複數個
靜葉，各該靜葉具有一第二主翼與一第二襟翼，各該第二襟
翼係與各該第二主翼於該靜葉的迎風面夾有一預定角度，該
預定角度係大於90度，該第二主翼與該第二襟翼係相隔一
段距離設置，該迎風面為一不連續的平面或曲面」的技術特
徵，其附屬項33相較於證據5、8或證據5、9或證據5、8
、9之組合，當然具有進步性。

327亦未揭露系爭專利請求項27「一扇框，具有複數個
靜葉，各該靜葉具有一第二主翼與一第二襟翼，各該第二襟
翼係與各該第二主翼於該靜葉的迎風面夾有一預定角度，該
預定角度係大於90度，該第二主翼與該第二襟翼係相隔一
段距離設置，該迎風面為一不連續的平面或曲面」的技術特
徵，其附屬項34至41相較於證據5、8或證據5、9或證據
5、7、9或證據5、8、9或證據5、7、8、9之組合，當然
具有進步性。
5或證據5、8或證據5、8、9之組合不足以證明系爭專
利請求項46及其附屬項48至49、51至53不具有進步性：
8揭露之「上扇葉424」與「下扇葉425」、證據5揭
露之「定子204的第一靜葉部212」與「幫浦罩體216的第
二靜葉部218」均不能對比為系爭專利請求項46之「第二
主翼」與「第三襟翼」，理由同系爭專利請求項1、27之部
分，不再贅述。由證據9說明書第8頁第11至12行及圖3
、4揭露「風扇2具有外框21，入風側設有複數肋條22」
、「扇框結構1與風扇2的外框21連結，扇框結構1具有
複數靜葉13」可知，其「外框21的肋條22」與「扇框結構
1的靜葉13」均為完整靜葉，更未揭露如系爭專利之迎風面
夾有角度且大於90度、迎風面型態等特徵，且其扇框結構
1係用以達到導流效果，並無如同系爭專利之主翼與襟翼的
區別與作用。況證據5為水噴射幫浦、證據8、9為風扇，
其技術領域差異極大，各自欲解決問題、發明目的及功效亦
均不相同，並無合理的組合動機，是系爭專利請求項46相
較於證據5或證據5、8或證據5、8、9之組合具有進步性
。
46相較於證據5或證據5、8或證據5、8

33、9之組合具有進步性，已如前述，其附屬項48至49、51
至53相較於證據5或證據5、8或證據5、8、9之組合，當
然具有進步性。
五、本件適用法律及爭點：
書97年6月21日公告本（申請卷第1頁至第19頁）、102
年3月18日及104年8月191
93頁至第199158頁至第167頁）、原處分
及訴願決定書（本院卷第126頁至第198頁）在卷可稽，堪
認為真正。

系爭專利之申請日為94年8月12日，被告審查核准專利日為
97年2月27日，原告於101年12月26日提出舉發，主張系
爭專利違反核准時專利法第26條第2項、第3項及第22條第
1項第1款、第4項之規定，嗣參加人分別於102年3月18
日、104年8月19日提出系爭專利更正本，經被告審查後，
於104年12月14日作成原處分，系爭專利是否有應撤銷專利
權情事，依現行專利法第71條第3項規定，應適用核准審定
時即92年2月6日修正公布、93年7月1日施行之專利法（
下稱93年專利法）規定，其更正是否超出申請時說明書、申
請專利範圍或圖式所揭露之範圍，或變更公告時之申請專利範
圍之情事，應以103年3月24日生效施行之專利法（下稱10
3年專利法）規定，此均為兩造及參加人所不爭執（本院卷第
486頁至第487頁）。
爭點經兩造、參加人協議簡化如下（本院卷第487頁至第
488頁）：
1、3、7、9至12、22、26、27、29、33

34至42、44至46、48、49、51至53、55、57、59、62、65、
67是否違反專利法第67條第4項之規定？
26條第2項之規
定？
1、3、7、9至12、22、26、27、29、33
至42、44至46、48、49、51至53、55、57、59、62、65、
67是否違反專利法第26條第3項之規定？
8是否足以證明系爭專利請求項1、3、7、9至11、
55、57、59、62、65、67不具新穎性？
8是否足以證明系爭專利請求項1、3、7、9至11、
55、57、59、62、65、67不具進步性？
2、8或證據4、8或證據6、8之組合是否足以證明
系爭專利請求項12、26不具進步性？
5是否足以證明系爭專利請求項27、33、42、46、53
不具進步性？
5、8之組合是否足以證明系爭專利請求項22、27、29
、33至42、44至46、48、49、51至53不具進步性？
8、9之組合是否足以證明系爭專利請求項22不具進
步性？
5、8、9之組合是否足以證明系爭專利請求項22、33
至41、46、48、49、51至53不具進步性？
5、9之組合是否足以證明系爭專利請求項33至41、4
9不具進步性？
5、7、9或證據5、7、8、9之組合是否足以證明系
爭專利請求項34至41不具進步性？
六、本院判斷如下：


35
依系爭專利說明書之摘要所載，系爭專利為一種風扇，包括
一扇框與一葉輪；葉輪係軸設於扇框中，且葉輪具有複數個
扇葉，各扇葉具有一第一主翼與一第一襟翼，各第一襟翼係
與各第一主翼夾有一預定角度；本發明亦揭露一種扇葉（申
請卷第18頁）。

依系爭專利圖1、2（申請卷第9頁正、背面）及其說明書
之先前技術所載，一種習知之風扇，其大體上包括有一扇框
與一葉輪。該扇框具有一殼體與一底座，且殼體與底座之間
連接有複數個肋部，另外，底座處更設有一馬達。葉輪具有
一輪轂與環設於輪轂上之複數個扇葉，葉輪係藉以其輪轂軸
設於扇框之底座，並且，受馬達驅動而相對底座旋轉，如此
一來，各扇葉係分別壓縮附近的空氣，使得風扇達到出風之
效果。風扇於應用時，空氣進入風扇之角度會隨著風扇轉速
而改變，進而使得攻角α改變。當攻角α超過一臨界角度時
，空氣與各扇葉表面之間會產生剝離（separation），並且在
各扇葉上方形成渦流。如此一來，即使再次提升風扇之轉速
，也無法提高風量，也就是所謂的「失速」現象（stall）。
此時，不但無法提高風扇之出風效率，甚至會產生噪音，不
但增加了風扇能量之消耗，亦降低風扇工作效率（申請卷第
17頁正、背面）。

系爭專利係為提供一種風扇及其扇葉，其能延緩失速狀況之
發生，且具有較佳出風效率（申請卷第17頁背面）。

系爭專利圖2為扇葉安裝角示意圖、圖3為風扇立體分解圖

36、圖4為系爭專利第一實施例風扇扇葉示意圖、圖5為系爭
專利第一實施例風扇扇葉另一示意圖、圖6為系爭專利扇葉
主翼與襟翼相隔設置示意圖（如附圖1所示）。

系爭專利申請專利範圍原核准公告時共計有78項，其中系
爭專利請求項1、27、46、55、68為獨立項，餘為附屬項。
參加人即專利權人於舉發審查過程中提出更正申請，經被告
准予更正，104年8月19日更正後系爭專利請求項1、27、
46、55為獨立項，系爭專利請求項2、4至6、8、13至21
、23至25、28、30至32、43、47、50、54、56、58、60至
61、63至64、66、68至78予以刪除，其餘為附屬項，以下
按各請求項之項次編號並列述內容如下：
有一第一主翼與一第一襟翼，各該第一襟翼係與各該第一
主翼於該扇葉的迎風面夾有一預定角度，該預定角度係大
於90度，該第一主翼與該第一襟翼係相隔一段距離設置
，該迎風面為一不連續的平面或曲面。
1項所述之風扇，其中各該第一襟翼與
各該扇葉之軸向長度比值係小於0.75。
1項所述之風扇，其中該第一襟翼係為
曲形或平板。
1項所述之風扇，其中該第一主翼與該
第一襟翼之翼形不同。
1項所述之風扇，其中該第一主翼與該
第一襟翼之安裝角不同。
